SMILES,Vina Score,Molecular Weight,verdict,failures
C=CC(=O)N1CCC(c2nc(Nc3ccc(N4CCC(N5CCN(C)CC5)CC4)c(C)c3)c(C(N)=O)nc2CC)CC1,-10.93,574.7740000000002,PASS,
CC1(C(=O)N2CCC[C@@H](c3nc(-c4ccc(C(=O)Nc5cc(C#N)ccn5)cc4F)c4c(N)nccn34)C2)COC1,-10.93,554.5860000000001,PASS,
Cc1ccccc1-c1ccc(N2CCC[C@H](C(=O)N3CCN(c4cc(N5CCOCC5)cnn4)CC3)C2)nn1,-10.92,528.6610000000004,PASS,
COc1cccc(-c2nc(N3CCC[C@H](CO)C3)cc(N3CC(=O)N4CCc5c(F)cccc5[C@H]4C3)n2)c1,-10.92,517.6050000000004,PASS,
Cc1nc2ncccc2c(=O)n1C1CN(C(=O)[C@@H]2CCCN2S(=O)(=O)c2c(Cl)cccc2Cl)C1,-10.91,522.4140000000002,PASS,
CCc1cccc(C)c1N1C[C@@H](C(=O)N2CCN(C(=O)[C@H]3CC(=O)N(c4ccccc4)C3)CC2)CC1=O,-10.91,502.61500000000035,PASS,
CC(=O)Nc1ccc(C)c(N2C[C@H](C(=O)N3CCN(C(=O)[C@@H]4CC(=O)N(c5ccccc5F)C4)CC3)CC2=O)c1,-10.9,549.6030000000003,PASS,
Cc1nc(Nc2ccc(S(=O)(=O)Nc3ncccn3)cc2)cc(N2CC(=O)N3CCc4c(F)cccc4[C@H]3C2)n1,-10.9,560.6150000000001,PASS,
CC(=O)N1CCCc2cc(S(=O)(=O)N3CCC(C(=O)N4CCN(c5ccccc5F)CC4)CC3)ccc21,-10.9,528.6500000000003,PASS,
Cc1cc(N2CCN(C(=O)c3cn4c5c(c(F)c(F)cc5c3=O)OC[C@H]4C)CC2)nc(N2CCCC2)n1,-10.89,510.54500000000047,PASS,
CC(=O)N1CCN(C(=O)c2ccc(C(=O)N3CCC(Cn4c(C)nc5cc(F)ccc5c4=O)CC3)cc2)CC1,-10.88,533.6040000000002,PASS,
Cc1ccccc1-c1ccc(N2CCC[C@H](C(=O)N3CCN(c4ccc(N5CCN(C)CC5)nn4)CC3)C2)nn1,-10.86,541.7040000000003,PASS,
COc1cccc(C(=O)N2CCN(c3nc(CN4CCN(c5ccccc5F)CC4)cc(=O)[nH]3)CC2)c1,-10.86,506.5820000000003,PASS,
Cc1ccc(N2C[C@@H](C(=O)N3CCN(C(=O)[C@H]4CC(=O)N(c5ccccc5F)C4)CC3)CC2=O)cc1Cl,-10.85,526.9960000000003,PASS,
O=C([C@@H]1CCCN1S(=O)(=O)c1c(Cl)cccc1Cl)N1CCN(c2ncnc3c2nnn3-c2ccc(F)cc2)CC1,-10.85,605.4830000000002,PASS,
Cc1ccc(N2C[C@H](C(=O)N3CCN(C(=O)[C@H]4CC(=O)N(c5ccc(F)cc5)C4)CC3)CC2=O)cc1F,-10.84,510.54100000000034,PASS,
COc1cccc(-c2nc(N3CCN(C(C)=O)CC3)cc(N3CC(=O)N4CCc5c(F)cccc5[C@H]4C3)n2)c1,-10.84,530.6040000000003,PASS,
CN(CC1CCN(C(=O)[C@@H]2CCCN2S(=O)(=O)c2c(Cl)cccc2Cl)CC1)c1ncnc2c1cnn2C,-10.84,566.5150000000002,PASS,
Cc1ccc(N2C[C@H](C(=O)N3CCN(C(=O)[C@H]4CC(=O)N(c5cccc(Cl)c5)C4)CC3)CC2=O)cc1F,-10.82,526.9960000000004,PASS,
Cc1ccccc1N1C[C@H](C(=O)N2CCN(c3ncnc4c3nnn4-c3ccc(F)cc3)CC2)CC1=O,-10.82,500.5380000000003,PASS,
CCc1cccc(C)c1N1C[C@@H](C(=O)Nc2nc(N3CCN(c4ccccc4F)CC3)nn2C)CC1=O,-10.81,505.5980000000003,PASS,
Cc1ccc(NC(=O)N2CCN(c3nc(CN4CCN(c5ccccc5F)CC4)cc(=O)[nH]3)CC2)cc1,-10.81,505.5980000000003,PASS,
O=C(NC[C@H]1CN(c2ccc3c(c2)OCO3)C(=O)O1)[C@@H]1CCCN1S(=O)(=O)c1c(Cl)cccc1Cl,-10.81,542.3970000000003,PASS,
